time,value
1535686000,86.677962
1535686000,80.954241
1535686000,79.78552
1535686000,81.19003
1535687000,80.743915
1535687000,80.123172
1535687000,80.479604
1535688000,82.447899
1535688000,88.126405
1535688000,88.800712
1535689000,88.084044
1535689000,88.00532
1535689000,88.087623
1535690000,83.32282
1535690000,81.53771
1535690000,79.740084
1535690000,80.088567
1535691000,78.166769
1535691000,77.295154
1535691000,77.828183
1535692000,82.004725
1535692000,85.225229
1535692000,81.375483
1535692000,86.746923
1535693000,87.833556
1535693000,89.197727
1535693000,86.286991
1535694000,91.537281
1535694000,87.920254
1535694000,85.66397
1535695000,82.434554
1535695000,80.318783
1535695000,77.695052
1535696000,77.250081
1535696000,77.701873
1535696000,80.234195
1535696000,92.921636
1535697000,89.905099
1535697000,90.710819
1535697000,95.219634
1535698000,94.518744
1535698000,95.36798
1535698000,95.829841
1535698000,95.238762
1535699000,96.595562
1535699000,96.5653
1535699000,97.154563
1535700000,110.385422
1535700000,110.626588
1535700000,113.815127
1535701000,117.16375
1535701000,117.783965
1535701000,123.178031
1535702000,121.862955
1535702000,127.696954
1535702000,134.671046
1535702000,143.525984
1535703000,147.413323
1535703000,149.94145
1535703000,149.906926
1535704000,152.121546
1535704000,157.13657
1535704000,157.997787
1535704000,161.266995
1535705000,162.824399
1535705000,164.847534
1535705000,166.372972
1535706000,168.099127
1535706000,169.705653
1535706000,170.375205
1535707000,170.692554
1535707000,170.697963
1535707000,172.061324
1535708000,153.70066
1535708000,174.039011
1535708000,173.691129
1535708000,173.385679
1535709000,161.880372
1535709000,171.556238
1535709000,170.204117
1535710000,169.379607
1535710000,168.261032
1535710000,167.661278
1535710000,164.111577
1535711000,165.631731
1535711000,164.387366
1535711000,164.178831
1535712000,163.362826
1535712000,161.503874
1535712000,159.562022
1535713000,156.441822
1535713000,154.951412
1535713000,154.809883
1535714000,150.794351
1535714000,151.039271
1535714000,149.060238
1535714000,148.818216
1535715000,149.696651
1535715000,147.53683
1535715000,149.393083
1535716000,148.50152
1535716000,148.886354
1535716000,142.979196
1535716000,142.622194
1535717000,144.508804
1535717000,144.62192
1535717000,144.624029
1535718000,144.328626
1535718000,145.020045
1535718000,144.246547
1535719000,141.979823
1535719000,139.912079
1535719000,139.418024
1535720000,139.019899
1535720000,138.934275
1535720000,139.546798
1535720000,139.877035
1535721000,134.942032
1535721000,135.42722
1535721000,133.08848
1535722000,131.412409
1535722000,129.827992
1535722000,132.707779
1535722000,133.370583
1535723000,128.438829
1535723000,130.052616
1535723000,134.996215
1535724000,133.314432
1535724000,132.299806
1535724000,131.205436
1535725000,130.969616
1535725000,130.74979
1535725000,132.538792
1535726000,131.464451
1535726000,129.992622
1535726000,129.556292
1535726000,129.085479
1535727000,128.508095
1535727000,130.83753
1535727000,126.532931
1535728000,127.508768
1535728000,128.623975
1535728000,130.732915
1535728000,131.028502
1535729000,130.100543
1535729000,127.987964
1535729000,126.534375
1535730000,129.359499
1535730000,129.11752
1535730000,135.48044
1535731000,132.633773
1535731000,133.139323
1535731000,131.409623
1535732000,132.439937
1535732000,120.637111
1535732000,128.137635
1535732000,131.40777
1535733000,131.855734
1535733000,132.059248
1535733000,133.085117
1535734000,132.217307
1535734000,127.796007
1535734000,127.667075
1535734000,127.929092
1535735000,123.04165
1535735000,125.189969
1535735000,130.172978
1535736000,131.441718
1535736000,132.567968
1535736000,132.311664
1535737000,131.414094
1535737000,126.391295
1535737000,129.413414
1535738000,127.037446
1535738000,135.471425
1535738000,138.425599
1535738000,138.353961
1535739000,139.465151
1535739000,138.176244
1535739000,138.780375
1535740000,138.491645
1535740000,139.095413
1535740000,141.107976
1535740000,143.545858
1535741000,145.60841
1535741000,145.84419
1535741000,138.014082
1535742000,144.873497
1535742000,144.939256
1535742000,151.656258
1535743000,154.501212
1535743000,153.131836
1535743000,153.885385
1535744000,150.234863
1535744000,149.594144
1535744000,150.42028
1535744000,149.891469
1535745000,152.047265
1535745000,160.172939
1535745000,160.318497
1535746000,156.164226
1535746000,153.238478
1535746000,153.59002
1535746000,155.891929
1535747000,156.244213
1535747000,156.709957
1535747000,152.695879
1535748000,152.62134
1535748000,153.602856
1535748000,148.244889
1535749000,148.898189
1535749000,152.380472
1535749000,151.771557
1535750000,154.934973
1535750000,148.802434
1535750000,151.218812
1535750000,152.839975
1535751000,153.672739
1535751000,155.442296
1535751000,150.902917
1535752000,154.228929
1535752000,154.069596
1535752000,151.985556
1535752000,150.767749
1535753000,150.232636
1535753000,148.844719
1535753000,150.845269
1535754000,150.556162
1535754000,149.057143
1535754000,149.091284
1535755000,145.929689
1535755000,142.587202
1535755000,139.041711
1535756000,142.614227
1535756000,142.944064
1535756000,142.086233
1535756000,139.883081
1535757000,141.434784
1535757000,136.777534
1535757000,137.923649
1535758000,138.052067
1535758000,140.888933
1535758000,140.528386
1535758000,133.378608
1535759000,133.021461
1535759000,130.613681
1535759000,131.668916
1535760000,131.146897
1535760000,134.768778
1535760000,133.731938
1535761000,132.880397
1535761000,132.353125
1535761000,127.599702
1535762000,125.896404
1535762000,125.123654
1535762000,124.045142
1535762000,122.6813
1535763000,122.892344
1535763000,124.343518
1535763000,123.074125
1535764000,119.149508
1535764000,115.700082
1535764000,112.087709
1535764000,111.631974
1535765000,111.532682
1535765000,111.491499
1535765000,112.584529
1535766000,112.941561
1535766000,113.151162
1535766000,112.547925
1535767000,110.793663
1535767000,109.718891
1535767000,108.564977
1535768000,106.541597
1535768000,104.743609
1535768000,104.369736
1535768000,107.885517
1535769000,107.959014
1535769000,109.704155
1535769000,109.578004
1535770000,108.899078
1535770000,106.472916
1535770000,99.565932
1535770000,98.416394
1535771000,96.754713
1535771000,94.423718
1535771000,93.627316
1535772000,93.44588
1535772000,94.714703
1535772000,98.921612
1535773000,90.933523
1535773000,97.861471
1535773000,98.635091
1535774000,97.752248
1535774000,95.62575
1535774000,92.920538
1535774000,92.84262
1535775000,91.073794
1535775000,88.87114
1535775000,88.313768
1535776000,89.962515
1535776000,95.149085
1535776000,95.373464
1535776000,96.673368
1535777000,94.270695
1535777000,95.179794
1535777000,92.841053
1535778000,90.678292
1535778000,89.669177
1535778000,88.591377
1535779000,85.885518
1535779000,76.700618
1535779000,79.927565
1535780000,87.307952
1535780000,90.754361
1535780000,91.272672
1535780000,93.539003
1535781000,92.554352
1535781000,89.402722
1535781000,89.114453
1535782000,90.447238
1535782000,88.771499
1535782000,87.03463
1535782000,82.013869
1535783000,84.529578
1535783000,83.033086
1535783000,86.556015
1535784000,87.942261
1535784000,94.048986
1535784000,97.080987
1535785000,94.357302
1535785000,95.720922
1535785000,93.495841
1535786000,92.251507
1535786000,92.082173
1535786000,91.79334
1535786000,92.28626
1535787000,92.669666
1535787000,93.996908
1535787000,98.214639
1535788000,101.083989
1535788000,105.967678
1535788000,104.601044
1535788000,116.706019
1535789000,106.506371
1535789000,106.568569
1535789000,106.371674
1535790000,109.601937
1535790000,113.380546
1535790000,117.937261
1535791000,122.328331
1535791000,124.476842
1535791000,130.680504
1535792000,129.968952
1535792000,131.763892
1535792000,134.817052
1535792000,138.849893
1535793000,141.308022
1535793000,142.851758
1535793000,147.808888
1535794000,149.405372
1535794000,152.418034
1535794000,157.076214
1535794000,160.347108
1535795000,164.118391
1535795000,165.553168
1535795000,167.801021
1535796000,169.917965
1535796000,176.328598
1535796000,178.316367
1535797000,164.26162
1535797000,173.726112
1535797000,178.161535
1535798000,185.710905
1535798000,188.457522
1535798000,190.423318
1535798000,188.831559
1535799000,191.799653
1535799000,193.187857
1535799000,193.134865
1535800000,197.791586
1535800000,197.473561
1535800000,197.492418
1535800000,197.648307
1535801000,198.050867
1535801000,188.927994
1535801000,196.061135
1535802000,199.034522
1535802000,199.721032
1535802000,197.728209
1535803000,199.976427
1535803000,200.632494
1535803000,195.598178
1535804000,193.541872
1535804000,194.207655
1535804000,194.640438
1535804000,196.521504
1535805000,195.012039
1535805000,195.545723
1535805000,194.810627
1535806000,193.072694
1535806000,190.173603
1535806000,189.991731
1535806000,190.017963
1535807000,190.350004
1535807000,189.958263
1535807000,188.322267
1535808000,185.872691
1535808000,185.049698
1535808000,182.031539
1535809000,180.039009
1535809000,180.404157
1535809000,175.974236
1535810000,183.693984
1535810000,173.688973
1535810000,173.195783
1535810000,172.955024
1535811000,173.660791
1535811000,173.789645
1535811000,172.541815
1535812000,171.046641
1535812000,168.825051
1535812000,169.848415
1535812000,169.063448
1535813000,169.454946
1535813000,170.466918
1535813000,140.717133
1535814000,166.08713
1535814000,165.350835
1535814000,151.675878
1535815000,158.509599
1535815000,157.525017
1535815000,160.876059
1535816000,158.364752
1535816000,157.56873
1535816000,155.07691
1535816000,153.962127
1535817000,154.716686
1535817000,156.15129
1535817000,155.890907
1535818000,154.006103
1535818000,151.650179
1535818000,150.540528
1535818000,149.776086
1535819000,150.642203
1535819000,150.552277
1535819000,152.010917
1535820000,151.663917
1535820000,148.317355
1535820000,148.402035
1535821000,146.171921
1535821000,146.440185
1535821000,148.088792
1535822000,148.670006
1535822000,147.633776
1535822000,145.481901
1535822000,143.515358
1535823000,143.895977
1535823000,143.536648
1535823000,144.700737
1535824000,146.674445
1535824000,149.840048
1535824000,141.955889
1535824000,148.797464
1535825000,147.555761
1535825000,147.532858
1535825000,146.389232
1535826000,146.710338
1535826000,146.35461
1535826000,145.703664
1535827000,138.454605
1535827000,139.230309
1535827000,146.535264
1535828000,149.055112
1535828000,151.036873
1535828000,153.408477
1535828000,154.556888
1535829000,153.001697
1535829000,152.866532
1535829000,151.574612
1535830000,151.731983
1535830000,154.036771
1535830000,148.352612
1535830000,153.985218
1535831000,153.027491
1535831000,150.86042
1535831000,150.238002
1535832000,153.516526
1535832000,155.016532
1535832000,143.061003
1535833000,151.621444
1535833000,138.649691
1535833000,152.977707
1535834000,150.396169
1535834000,149.125928
1535834000,149.703719
1535834000,149.156797
1535835000,147.710708
1535835000,147.254888
1535835000,145.392704
1535836000,145.309787
1535836000,140.774054
1535836000,143.705622
1535836000,140.359264
1535837000,141.310671
1535837000,136.634513
1535837000,134.459596
1535838000,132.826049
1535838000,132.918635
1535838000,134.480211
1535839000,135.765891
1535839000,134.577443
1535839000,130.018112
1535840000,132.814715
1535840000,130.085403
1535840000,129.186062
1535840000,131.44045
1535841000,128.003745
1535841000,130.278837
1535841000,130.953047
1535842000,134.668013
1535842000,134.510513
1535842000,131.616933
1535842000,130.189924
1535843000,127.53809
1535843000,127.477545
1535843000,124.851817
1535844000,126.075609
1535844000,129.792427
1535844000,127.353483
1535845000,128.523527
1535845000,127.085914
1535845000,120.817258
1535846000,119.426173
1535846000,121.842455
1535846000,122.599102
1535846000,122.176388
1535847000,123.016183
1535847000,122.098813
1535847000,122.334904
1535848000,119.853328
1535848000,116.516459
1535848000,118.012557
1535848000,119.560753
1535849000,120.48222
1535849000,119.779584
1535849000,119.206358
1535850000,114.109813
1535850000,112.417524
1535850000,110.10697
1535851000,102.296528
1535851000,109.393785
1535851000,109.582511
1535852000,111.102242
1535852000,99.924912
1535852000,106.325723
1535852000,113.187533
1535853000,105.15008
1535853000,101.802727
1535853000,99.263776
1535854000,101.021219
1535854000,100.371085
1535854000,98.659145
1535854000,97.563856
1535855000,100.343333
1535855000,101.238025
1535855000,100.408747
1535856000,100.187522
1535856000,97.735015
1535856000,96.949092
1535857000,92.651625
1535857000,89.224802
1535857000,87.566654
1535858000,87.526436
1535858000,89.525101
1535858000,93.04215
1535858000,97.571921
1535859000,88.82185
1535859000,90.007415
1535859000,92.489277
1535860000,91.733448
1535860000,92.000641
1535860000,90.293431
1535860000,89.861943
1535861000,83.671689
1535861000,83.34242
1535861000,82.486905
1535862000,84.505325
1535862000,87.783998
1535862000,90.429801
1535863000,91.627372
1535863000,92.596911
1535863000,93.147718
1535864000,90.458798
1535864000,88.47756
1535864000,88.251823
1535864000,86.242976
1535865000,80.742254
1535865000,80.693338
1535865000,79.808653
1535866000,79.207395
1535866000,77.891146
1535866000,86.521342
1535866000,86.277236
1535867000,88.369699
1535867000,90.691642
1535867000,89.936226
1535868000,89.479556
1535868000,87.671827
1535868000,86.693566
1535869000,86.400511
1535869000,85.093183
1535869000,81.281247
1535870000,80.380987
1535870000,81.6859
1535870000,82.490692
1535870000,82.577046
1535871000,92.287042
1535871000,94.300936
1535871000,92.707928
1535872000,92.38516
1535872000,92.311297
1535872000,92.926985
1535872000,88.95865
1535873000,89.193356
1535873000,89.193658
1535873000,88.503356
1535874000,89.500537
1535874000,91.332203
1535874000,98.219085
1535875000,109.689869
1535875000,103.344301
1535875000,102.848017
1535876000,94.067819
1535876000,98.987583
1535876000,99.801542
1535876000,104.14071
1535877000,107.340759
1535877000,108.382834
1535877000,116.388071
1535878000,118.46708
1535878000,121.994318
1535878000,125.862776
1535878000,125.052731
1535879000,125.010519
1535879000,128.534278
1535879000,132.357806
1535880000,138.723958
1535880000,143.321796
1535880000,145.330049
1535881000,148.450342
1535881000,151.514908
1535881000,155.106356
1535882000,156.998273
1535882000,162.890925
1535882000,163.08171
1535882000,164.074775
1535883000,169.112665
1535883000,169.091533
1535883000,172.159927
1535884000,175.350168
1535884000,175.460252
1535884000,174.656283
1535884000,176.779491
1535885000,178.5746
1535885000,182.535554
1535885000,181.808992
1535886000,182.551708
1535886000,182.581669
1535886000,184.642384
1535887000,185.499561
1535887000,186.376738
1535887000,185.439314
1535888000,185.416934
1535888000,186.72626
1535888000,185.834139
1535888000,187.954574
1535889000,184.382217
1535889000,184.550913
1535889000,184.062983
1535890000,180.342428
1535890000,178.599922
1535890000,182.208691
1535890000,183.034035
1535891000,169.910254
1535891000,177.215013
1535891000,175.521372
1535892000,182.092487
1535892000,172.344588
1535892000,174.86723
1535893000,171.088834
1535893000,173.038256
1535893000,170.072511
1535894000,167.882816
1535894000,168.773652
1535894000,171.306595
1535894000,168.573986
1535895000,168.885356
1535895000,168.417996
1535895000,167.217017
1535896000,166.117281
1535896000,164.379551
1535896000,162.400161
1535896000,160.337005
1535897000,160.455416
1535897000,156.681296
1535897000,153.943479
1535898000,151.276021
1535898000,146.578487
1535898000,152.459524
1535899000,154.122412
1535899000,154.185648
1535899000,150.328195
1535900000,148.57984
1535900000,147.32474
1535900000,148.522134
1535900000,148.237394
1535901000,150.833985
1535901000,148.53985
1535901000,147.53614
1535902000,148.065262
1535902000,145.89396
1535902000,146.522843
1535902000,146.587292
1535903000,143.662734
1535903000,147.276265
1535903000,146.388472
1535904000,145.991527
1535904000,142.748546
1535904000,140.485818
1535905000,142.420919
1535905000,143.676585
1535905000,145.470889
1535906000,144.821952
1535906000,144.216107
1535906000,143.193462
1535906000,141.20656
1535907000,140.107292
1535907000,140.372031
1535907000,140.224194
1535908000,136.658499
1535908000,136.937059
1535908000,140.810854
1535908000,141.796867
1535909000,140.710939
1535909000,140.540134
1535909000,137.85322
1535910000,139.833006
1535910000,139.013891
1535910000,141.02626
