time,value
1527819000,123.150775
1527819000,124.965688
1527820000,130.026147
1527820000,122.425245
1527820000,119.272235
1527820000,118.956738
1527821000,118.083139
1527821000,116.790489
1527821000,116.875469
1527822000,115.517324
1527822000,115.62371
1527822000,128.100975
1527823000,119.200919
1527823000,119.762018
1527823000,119.333011
1527824000,118.054287
1527824000,116.046436
1527824000,112.96875
1527824000,112.264558
1527825000,110.940492
1527825000,113.649913
1527825000,118.530903
1527826000,117.792081
1527826000,117.92096
1527826000,119.472912
1527826000,115.748912
1527827000,107.972899
1527827000,114.336668
1527827000,109.787855
1527828000,111.538943
1527828000,109.792763
1527828000,112.355493
1527829000,114.456394
1527829000,120.025713
1527829000,119.033143
1527830000,121.411039
1527830000,115.848992
1527830000,114.037067
1527830000,113.626835
1527831000,109.153528
1527831000,110.980595
1527831000,110.713793
1527832000,114.51295
1527832000,114.312757
1527832000,114.796179
1527832000,115.043986
1527833000,116.205496
1527833000,115.426411
1527833000,114.023701
1527834000,114.276806
1527834000,113.386466
1527834000,120.477963
1527835000,122.282783
1527835000,124.275721
1527835000,123.771871
1527836000,126.900451
1527836000,126.307266
1527836000,126.7434
1527836000,126.731024
1527837000,130.336427
1527837000,131.892018
1527837000,142.885975
1527838000,144.773978
1527838000,149.366991
1527838000,149.116237
1527838000,143.827339
1527839000,148.816214
1527839000,156.683485
1527839000,166.263629
1527840000,167.074786
1527840000,168.954334
1527840000,170.001421
1527841000,172.226947
1527841000,175.5127
1527841000,179.420099
1527842000,179.412595
1527842000,182.709289
1527842000,165.27213
1527842000,185.422284
1527843000,186.220652
1527843000,186.493511
1527843000,178.586169
1527844000,184.312303
1527844000,184.1723
1527844000,190.936197
1527844000,191.18568
1527845000,51.859297
1527845000,189.362457
1527845000,191.366429
1527846000,193.224974
1527846000,193.402472
1527846000,191.015972
1527847000,191.313885
1527847000,192.155644
1527847000,193.597155
1527848000,192.687426
1527848000,197.572928
1527848000,197.864666
1527848000,193.272545
1527849000,193.974955
1527849000,183.416888
1527849000,180.180668
1527850000,179.119965
1527850000,179.609923
1527850000,178.961819
1527850000,183.303735
1527851000,181.602988
1527851000,180.946876
1527851000,178.950091
1527852000,169.171124
1527852000,178.563082
1527852000,175.564144
1527853000,173.924927
1527853000,176.424773
1527853000,173.087769
1527854000,173.237551
1527854000,173.495062
1527854000,174.837355
1527854000,174.845344
1527855000,173.271029
1527855000,171.685235
1527855000,169.569668
1527856000,165.463765
1527856000,168.166372
1527856000,167.847243
1527856000,161.593472
1527857000,165.941455
1527857000,167.736452
1527857000,150.929678
1527858000,158.588856
1527858000,158.590291
1527858000,160.366559
1527859000,160.95075
1527859000,160.997332
1527859000,160.147441
1527860000,156.090852
1527860000,156.85141
1527860000,160.645424
1527860000,158.52708
1527861000,145.190803
1527861000,159.970842
1527861000,156.333081
1527862000,154.528489
1527862000,154.034564
1527862000,154.030667
1527862000,154.069731
1527863000,156.238748
1527863000,156.194263
1527863000,156.85679
1527864000,151.122223
1527864000,151.37597
1527864000,149.798349
1527865000,150.08156
1527865000,149.678362
1527865000,149.890863
1527866000,147.214728
1527866000,144.695502
1527866000,144.626685
1527866000,143.099848
1527867000,145.09053
1527867000,145.779697
1527867000,145.911626
1527868000,149.690011
1527868000,149.580048
1527868000,146.878547
1527868000,144.539748
1527869000,142.689397
1527869000,141.989107
1527869000,144.136327
1527870000,146.798901
1527870000,148.93367
1527870000,150.942817
1527871000,150.28683
1527871000,147.561998
1527871000,143.30369
1527872000,144.041545
1527872000,144.119374
1527872000,142.195607
1527872000,147.12538
1527873000,147.4416
1527873000,148.419049
1527873000,147.87756
1527874000,147.51874
1527874000,146.787735
,149.08119
,155.606335
,154.062157
,154.406936
,155.401499
,154.932191
,154.666151
,153.500985
,155.495361
,153.915873
,158.003991
,158.527644
,158.529337
,158.05747
,159.034917
,159.815331
,158.589173
,162.838624
,162.995611
,162.850231
,161.726702
,161.576976
,162.421946
,157.136198
,162.416772
,163.713976
,164.774174
,164.961541
,164.782452
,165.734658
1527883000,165.212477
1527884000,165.086785
1527884000,157.509719
1527884000,161.950888
1527884000,165.18495
1527885000,165.197633
1527885000,164.440318
1527885000,163.572966
1527886000,164.846718
1527886000,161.821842
1527886000,164.812692
1527886000,148.944315
1527887000,147.95856
1527887000,164.540681
1527887000,163.329562
1527888000,158.27511
1527888000,159.348933
1527888000,150.520234
1527889000,159.992216
1527889000,157.794647
1527889000,154.278306
1527890000,153.615377
1527890000,155.583893
1527890000,155.434278
1527890000,155.072228
1527891000,153.055324
1527891000,146.027616
1527891000,146.524577
1527892000,142.132783
1527892000,150.763699
1527892000,152.834361
1527892000,152.41274
1527893000,142.581604
1527893000,144.428663
1527893000,146.496257
1527894000,140.37001
1527894000,146.650551
1527894000,147.694656
1527895000,149.211902
1527895000,142.118441
1527895000,152.166397
1527896000,146.956677
1527896000,145.41969
1527896000,143.150221
1527896000,145.062192
1527897000,144.625946
1527897000,143.251547
1527897000,145.364454
1527898000,142.57507
1527898000,140.905784
1527898000,138.605142
1527898000,134.961931
1527899000,135.843843
1527899000,133.898933
1527899000,134.376325
1527900000,135.053752
1527900000,134.588202
1527900000,131.719244
1527901000,131.372869
1527901000,126.823116
1527901000,123.025469
1527902000,115.565672
1527902000,125.630647
1527902000,118.167027
1527902000,130.579457
1527903000,125.489602
1527903000,124.948546
1527903000,123.81648
1527904000,119.982945
1527904000,114.615293
1527904000,114.488676
1527904000,116.649343
1527905000,117.13596
1527905000,116.510446
1527905000,117.651245
1527906000,117.384077
1527906000,112.960914
1527906000,114.349869
1527907000,113.758295
1527907000,110.837856
1527907000,104.619218
1527908000,108.181614
1527908000,107.734908
1527908000,108.528159
1527908000,110.124116
1527909000,111.074415
1527909000,110.937494
1527909000,113.343473
1527910000,113.116912
1527910000,113.088192
1527910000,108.377018
1527910000,106.227385
1527911000,101.498113
1527911000,102.125104
1527911000,98.896279
1527912000,108.049143
