time,rain
1526255000,0.2
1526256000,0.2
1526256000,0.2
1526291000,0.2
1526354000,0.2
1526360000,0.2
1526363000,0.2
1526365000,0.2
1526371000,0.2
1526372000,0.2
1526372000,0.2
1526373000,0.2
1526373000,0.4
1526374000,0.2
1526374000,0.2
1526374000,0.4
1526374000,0.2
1526375000,0.2
1526375000,0.6
1526375000,0.8
1526376000,0.6
1526376000,0.4
1526376000,0.4
1526377000,0.2
1526377000,0.2
1526378000,0.2
1526472000,0.2
1526473000,0.2
1526473000,0.2
1526474000,0.2
1526475000,0.2
1526476000,0.2
1526476000,0.2
1526476000,0.2
1526477000,0.2
1526477000,0.2
1526478000,0.2
1526478000,0.2
1526479000,0.2
1526479000,0.2
1526480000,0.2
1526480000,0.4
1526480000,0.2
1526481000,0.2
1526483000,0.2
1526504000,0.2
1526510000,0.4
1526512000,0.2
1526512000,0.4
1526512000,0.2
1526513000,0.2
1526514000,0.2
1526515000,0.2
1526515000,0.2
1526515000,0.2
1526516000,0.4
1526519000,0.2
1526521000,0.2
1526521000,0.2
1526522000,0.2
1526522000,0.4
1526523000,0.2
1526524000,0.2
1526527000,0.2
1526529000,0.2
1526530000,0.4
1526740000,0.2
1526839000,0.2
1526840000,0.2
1526840000,0.2
1526840000,0.2
1526850000,0.2
1526850000,0.4
1526850000,0.2
1526851000,0.2
1527038000,0.4
1527038000,0.4
1527039000,0.4
1527039000,0.6
1527039000,0.4
1527040000,0.4
1527040000,0.2
1527041000,0.2
1527045000,0.2
1527046000,0.2
1527051000,0.2
1527089000,0.2
1527106000,0.2
1527256000,0.2
1527272000,0.2
1527273000,0.6
1527273000,0.2
1527277000,0.4
1527278000,0.6
1527278000,0.6
1527278000,0.4
1527278000,0.2
1527280000,0.4
1527282000,0.2
1527282000,0.6
1527283000,0.6
1527283000,0.4
1527283000,0.4
1527284000,0.4
1527284000,0.4
1527284000,0.4
1527286000,0.2
1527286000,0.4
1527287000,0.2
1527288000,0.2
1527288000,0.2
1527289000,0.4
1527289000,0.2
1527290000,0.2
1527290000,0.2
1527291000,0.4
1527291000,0.8
1527291000,0.4
1527292000,0.4
1527292000,0.2
1527292000,0.8
1527292000,0.2
1527293000,0.2
1527294000,0.2
1527294000,0.2
1527295000,0.2
1527295000,0.4
1527296000,0.2
1527296000,0.2
1527296000,0.2
1527296000,0.4
1527297000,0.6
1527297000,0.2
1527298000,0.2
1527298000,0.2
1527300000,0.2
1527300000,0.4
1527300000,0.4
1527301000,0.4
1527303000,0.2
1527304000,0.4
1527305000,0.2
1527305000,0.2
1527305000,0.4
1527306000,0.4
1527307000,0.2
1527307000,0.2
1527307000,0.2
1527308000,0.2
1527319000,0.4
1527390000,0.2
1527393000,0.2
1527429000,0.4
1527429000,0.2
1527430000,0.2
1527430000,0.2
1527430000,0.2
1527431000,0.4
1527432000,0.2
1527433000,0.2
1527434000,0.2
1527434000,0.4
1527435000,0.4
1527436000,0.2
1527438000,0.2
1527439000,0.4
1527440000,0.2
1527441000,0.4
1527441000,0.2
1527442000,0.2
1527443000,0.4
1527443000,0.8
1527444000,0.2
1527444000,0.2
1527446000,0.2
1527448000,0.2
1527448000,0.4
1527448000,0.4
1527449000,0.2
1527450000,0.2
1527450000,0.2
1527451000,0.2
1527452000,0.2
1527455000,0.2
1527464000,0.4
1527464000,0.2
1527465000,0.4
1527466000,0.2
1527466000,0.2
1527467000,0.2
1527467000,0.2
1527469000,0.2
1527470000,0.2
1527470000,0.4
1527470000,0.2
1527471000,0.2
1527474000,0.2
1527474000,0.2
1527475000,0.4
1527476000,0.2
1527476000,0.4
1527477000,0.8
1527477000,0.2
1527478000,0.2
1527478000,0.2
1527478000,0.2
1527482000,0.6
1527485000,0.2
1527495000,0.2
1527496000,0.2
1527498000,0.2
1527499000,0.2
1527502000,0.2
1527502000,0.4
1527502000,0.2
1527519000,0.2
1527536000,0.2
1527536000,0.2
1527541000,0.2
1527542000,0.2
1527546000,0.2
1527548000,0.2
1527549000,0.2
1527551000,0.2
1527552000,0.2
1527555000,0.2
1527556000,0.2
1527565000,0.2
1527572000,0.2
1527578000,0.4
1527590000,0.2
1527929000,0.2
1527931000,0.4
1527931000,0.2
1527932000,0.2
1527935000,0.2
1527935000,0.2
1527936000,0.2
